_step,val/reward,val/turn_count,val/mean_response_length,prompt_length/mean,timing_s/step,timing_s/gen,timing_s/update_actor,critic/rewards/mean,_runtime
0,0.494,1.976,56.796,,,,,,62820
1,,,,252.60267639160156,82.49424944911152,51.6021751947701,23.757094031199813,0.1826171875,62820
2,,,,263.0535583496094,65.50251692999154,42.00641643907875,17.707660108804703,0.259765625,62820
3,,,,250.92410278320312,66.06578187085688,42.53640165645629,18.47394949197769,0.1611328125,62820
4,,,,258.5178527832031,72.35549551900476,50.08881531842053,17.237112901173532,0.09375,62820
5,,,,255.41517639160156,65.91624208912253,42.68018236011267,18.259028682485223,0.040283203125,62820
6,,,,269.9553527832031,65.37250157352537,42.48086179699749,17.84877465851605,0.2275390625,62820
7,,,,260.15625,65.40102633927017,42.49145892448723,17.847204965539277,0.21875,62820
8,,,,267.47320556640625,82.50937468651682,59.53259406797588,17.712764255702496,0.1826171875,62820
9,,,,254.8392791748047,85.4059968618676,62.47141291387379,17.869613770395517,0.1787109375,62820
10,,,,247.8080291748047,65.3716690428555,42.50247557926923,17.230879586189985,0.2412109375,62820
11,,,,244.44642639160156,60.28517074137926,37.83071301225573,17.402888072654605,0.2099609375,62820
12,,,,253.9107208251953,66.71085277851671,42.46621988993138,19.04513523634523,0.34765625,62820
13,,,,242.61160278320312,55.45486919488758,32.59228439629078,17.802673489786685,0.3125,62820
14,,,,244.0982208251953,60.36964912246913,37.45897819008678,17.868184187449515,0.25390625,62820
15,,,,245.79910278320312,61.212894320487976,38.0889677265659,17.909928197972476,0.357421875,62820
16,,,,252.20982360839844,65.27361208945513,42.45991876069456,17.81316550076008,0.1337890625,62820
17,,,,244.1919708251953,65.72268698737025,42.48499483242631,18.20717328414321,0.263671875,62820
18,,,,236.2544708251953,54.87974585779011,32.748022069223225,17.11070375610143,0.271484375,62820
19,,,,241.33482360839844,60.06629113294184,37.46827846765518,17.592794698663056,0.28125,62820
20,,,,250.35267639160156,59.695834713988006,37.45006298832595,17.263410445302725,0.31640625,62820
21,,,,242.2857208251953,65.67884488217533,42.73758667521179,17.90889953263104,0.298828125,62820
22,,,,228.84375,54.9501686738804,32.47660315223038,17.352807208895683,0.169921875,62820
23,,,,236.5044708251953,50.20173974800855,27.537766065448523,17.494792375713587,0.291015625,62820
24,,,,237.28125,81.32923272624612,58.390755142085254,17.69662184920162,0.302734375,62820
25,,,,237.6205291748047,55.03966495767236,32.78493879828602,17.13465667888522,0.330078125,62820
26,,,,233.2767791748047,55.36606034077704,32.65494000352919,17.61073073837906,0.330078125,62820
27,,,,239.19140625,52.13885429687798,27.497310480102897,19.57745737582445,0.4296875,62820
28,,,,233.03125,56.13194013386965,32.457012730650604,18.558109629899263,0.396484375,62820
