_step,val/reward,val/turn_count,val/mean_response_length,prompt_length/mean,timing_s/step,timing_s/gen,timing_s/update_actor,critic/rewards/mean,_runtime
0,0.494,1.978,57.839,,,,,,80370
1,,,,253.7544708251953,92.5106539465487,57.018255116418004,27.51402130909264,0.12060546875,80370
2,,,,260.68304443359375,70.69510101433843,46.91723291389644,18.218026775866747,0.1923828125,80370
3,,,,249.66964721679688,76.23635784443468,52.42292298004031,18.265705185942352,0.1513671875,80370
4,,,,251.4330291748047,66.07319316919893,42.36868365108967,18.21091338712722,0.138671875,80370
5,,,,250.54017639160156,99.77017123904079,57.73314583860338,32.31139900442213,0.053466796875,80370
6,,,,252.77232360839844,119.93421037308872,77.8424540469423,32.219812422059476,0.263671875,80370
7,,,,252.6875,90.39626083988696,62.844025671482086,17.903454007580876,0.142578125,80370
8,,,,256.9910583496094,71.27200000546873,47.39113662671298,18.44536654278636,0.21875,80370
9,,,,246.0267791748047,84.94253686163574,42.65660488512367,32.357601570896804,0.1787109375,80370
10,,,,244.25892639160156,86.08169448561966,62.47931029461324,18.06548921111971,0.1875,80370
11,,,,238.11607360839844,60.70503850374371,37.366133409552276,17.79575318004936,0.1787109375,80370
12,,,,240.11607360839844,60.81665482930839,37.354665875434875,17.80735689587891,0.326171875,80370
13,,,,234.65625,90.16025178413838,67.3701036684215,17.33599727973342,0.2412109375,80370
14,,,,240.78125,57.67635292839259,32.42883817385882,19.61119789816439,0.2578125,80370
15,,,,233.76339721679688,55.47092376463115,32.586373382247984,17.2088471269235,0.353515625,80370
16,,,,245.86607360839844,55.22853517904878,32.363397197797894,17.470209127292037,0.205078125,80370
17,,,,238.50892639160156,55.4606167813763,32.43377277255058,17.475180042907596,0.232421875,80370
18,,,,238.47767639160156,56.36921965703368,32.56049493141472,18.29884991515428,0.21875,80370
19,,,,235.0267791748047,55.10831449273974,32.35425242036581,17.202604266814888,0.365234375,80370
20,,,,251.1517791748047,56.08006971515715,32.35048239585012,18.033074896782637,0.326171875,80370
21,,,,240.5044708251953,55.658436263911426,32.43428965192288,17.567174601368606,0.361328125,80370
22,,,,230.42857360839844,55.09036191273481,32.38172948732972,17.208877961151302,0.1962890625,80370
23,,,,239.83035278320312,50.389204437844455,27.355102532543242,17.545464742928743,0.3125,80370
24,,,,235.91964721679688,55.29450034722686,32.36064796894789,17.365151952020824,0.298828125,80370
25,,,,240.3392791748047,50.21238564606756,27.331615081056952,17.381874656304717,0.330078125,80370
26,,,,233.88839721679688,55.13828792050481,32.32925804331899,17.328735994175076,0.3125,80370
27,,,,235.30357360839844,55.11910110991448,32.353892927989364,17.110703295096755,0.33984375,80370
28,,,,235.0982208251953,55.623207055963576,32.32746566273272,17.781269123777747,0.361328125,80370
29,,,,245.45982360839844,55.27026301249862,32.33372665010393,17.445091804489493,0.25390625,80370
30,,,,243.7455291748047,55.22031918168068,32.34858390316367,17.213361280038953,0.30859375,80370
31,,,,246.71875,57.20452605932951,32.29639108199626,19.510330262593925,0.2275390625,80370
32,0.526,1.998,25.453,238.57589721679688,142.9347515720874,32.62544186413288,17.443074142560363,0.37890625,80370
33,,,,241.4419708251953,55.02456338144839,32.0089702391997,17.463211578316987,0.236328125,80370
34,,,,231.6171875,57.80243025533855,32.353611714206636,19.82702862750739,0.2421875,80370
35,,,,227.4375,53.82669831067324,27.318916828371584,20.97524472977966,0.482421875,80370
36,,,,243.2142791748047,55.30553218815476,32.32640858646482,17.377478322014213,0.1923828125,80370
37,,,,229.32589721679688,55.52219756692648,32.667326676659286,17.11224360857159,0.34375,80370
38,,,,232.5,55.3534533707425,32.482558333314955,17.38026588410139,0.2099609375,80370
39,,,,243.85267639160156,55.170354498550296,32.41199933551252,17.154346141964197,0.37109375,80370
40,,,,224.3392791748047,55.06159577239305,32.52467103675008,17.13078541215509,0.455078125,80370
41,,,,239.5892791748047,55.667669208720326,32.692799512296915,17.291560349985957,0.2236328125,80370
42,,,,232.40625,57.49261196516454,32.397776761092246,19.462178140878677,0.4140625,80370
43,,,,242.20982360839844,55.2346226265654,32.33037971146405,17.406889723613858,0.302734375,80370
44,,,,232.6294708251953,55.125161041505635,32.36091927997768,17.257877041585743,0.361328125,80370
45,,,,235.70089721679688,54.81903381180018,32.35957688651979,16.943624641746283,0.396484375,80370
46,,,,229.2142791748047,59.95318815857172,37.343628481030464,17.068207641132176,0.396484375,80370
47,,,,222.45089721679688,60.11462092958391,37.32448036968708,17.295686858706176,0.27734375,80370
48,,,,230.7142791748047,55.36138290539384,32.462936794385314,17.28420340269804,0.396484375,80370
49,,,,234.85267639160156,50.857313530519605,27.407020441256464,17.76300225406885,0.37109375,80370
50,,,,233.75892639160156,55.29756564088166,32.2971773147583,17.374484481289983,0.330078125,80370
51,,,,240.3828125,52.29950163606554,27.30269914958626,19.459340358152986,0.3203125,80370
52,,,,237.08482360839844,50.17136854771525,27.35028870217502,17.181575481779873,0.357421875,80370
53,,,,236.41964721679688,55.00450998265296,32.35553315561265,17.083337862044573,0.34375,80370
54,,,,232.7544708251953,55.1390086710453,32.34043526370078,17.285591864027083,0.37109375,80370
55,,,,234.33203125,52.88872577622533,27.33173562772572,19.96515132021159,0.28125,80370
56,,,,231.36607360839844,50.55741130467504,27.346059346571565,17.474354862235487,0.37890625,80370
57,,,,241.10267639160156,61.019480912946165,37.38025396410376,17.971214363351464,0.236328125,80370
58,,,,234.82142639160156,60.5053774388507,37.404043407179415,17.560030894353986,0.447265625,80370
59,,,,227.0357208251953,55.838661475107074,32.41664587892592,17.64935122616589,0.298828125,80370
60,,,,236.22767639160156,56.166653748601675,32.41940484754741,18.17638650070876,0.326171875,80370
61,,,,236.65625,55.83487094286829,32.4300002027303,17.832919790409505,0.388671875,80370
62,,,,236.38392639160156,65.81158552784473,42.41316415090114,17.76921954471618,0.263671875,80370
